hcid,padrow,pad,ADC_sum,adc_0,adc_1,adc_2,adc_3,adc_4,adc_5,adc_6,adc_7,adc_8,adc_9,adc_10,adc_11,adc_12,adc_13,adc_14,adc_15,adc_16,adc_17,adc_18,adc_19,adc_20,adc_21,adc_22,adc_23,adc_24,adc_25,adc_26,adc_27,adc_28,adc_29
134,12,65,670,23,48,42,32,26,22,21,16,15,19,16,17,17,16,18,16,15,17,25,29,32,34,32,24,21,19,16,16,13,13
134,12,64,313,11,12,13,13,11,11,11,10,10,11,9,11,9,10,12,10,10,8,10,10,9,11,9,11,9,12,10,11,9,10
134,13,66,665,11,9,9,13,14,18,18,21,22,23,31,34,34,27,22,20,16,17,20,26,37,40,39,32,24,20,19,18,15,16
134,13,65,3077,9,10,15,30,67,86,84,122,127,140,241,286,275,210,152,121,106,103,106,109,107,105,93,76,63,54,50,47,43,40
134,13,64,1188,10,13,11,15,25,32,31,44,48,53,86,99,98,77,58,48,43,43,48,44,37,37,31,26,26,24,22,21,20,18
139,12,80,1193,13,23,25,29,32,37,74,107,111,90,78,62,51,47,51,43,34,29,28,28,26,23,23,21,19,19,17,19,17,17
139,12,83,317,9,12,10,10,9,10,12,9,11,14,10,12,9,9,10,11,12,15,10,9,10,12,11,10,7,12,11,9,10,12
139,12,82,495,32,50,40,29,21,19,17,15,15,15,14,14,15,13,13,12,15,12,11,12,11,10,10,14,11,11,9,12,12,11
139,12,81,1139,87,130,114,93,69,56,54,57,48,37,33,30,28,24,25,21,21,21,20,16,19,18,18,14,12,17,16,13,14,14
139,12,79,1170,9,10,11,9,11,13,15,19,24,30,40,43,47,96,134,110,86,67,58,54,44,37,33,28,27,25,26,22,21,21
138,12,53,342,10,9,11,11,10,9,8,10,8,11,11,7,11,10,11,10,9,13,13,21,19,14,14,13,13,10,12,11,12,11
138,12,53,342,10,9,11,11,10,9,8,10,8,11,11,7,11,10,11,10,9,13,13,21,19,14,14,13,13,10,12,11,12,11
138,12,48,404,14,30,30,24,19,14,12,15,14,11,11,11,12,12,12,10,13,11,13,11,11,10,9,11,10,10,10,12,10,12
138,12,49,1555,43,171,206,192,142,96,73,59,50,43,40,38,34,32,28,29,27,24,22,24,20,23,18,20,17,18,17,16,17,16
139,12,78,558,10,10,9,12,11,11,11,10,13,10,11,13,14,22,25,24,27,24,30,38,45,36,26,21,17,18,16,15,16,13
