column;detector;hcid;padrow;position;uncal_slope;slope;uncal_dy;uncal_y;dy;x;y;z
0;429;858;9;2004;-0.061;-0.0271783;-0.857965;8.2453;-0.396234;337.775;8.24529;111.25
0;429;858;9;193;0.005;0.0388218;0.070325;11.2078;0.565986;337.775;11.2078;111.25
2;429;858;10;1556;-0.036;-0.00217825;-0.50634;38.6453;-0.0317569;337.775;38.6453;102.75
0;430;860;9;1758;0.057;0.0897103;0.834879;5.58314;1.34478;350.375;5.58313;114
0;440;880;2;1994;-0.013;0.0227251;-0.175279;8.52598;0.31593;325.175;8.52598;-76.5
1;442;884;0;1392;-0.054;-0.0206275;-0.790938;19.0081;-0.308737;350.375;19.0081;-60.75
0;443;886;2;554;-0.005;0.0264273;-0.076145;15.7248;0.416318;362.975;15.7248;-79
3;480;961;0;177;-0.04;-0.00167204;-0.49276;137.419;-0.0212721;299.975;137.419;297.25
3;480;961;0;246;0.009;0.047328;0.110871;138.281;0.60212;299.975;138.281;297.25
1;507;1015;5;1597;-0.004;0.0288193;-0.05626;93.1578;0.416897;337.775;93.1578;-240.75
1;507;1015;5;1869;-0.036;-0.00318072;-0.50634;96.5578;-0.046012;337.775;96.5578;-240.75
3;508;1017;6;1622;0.001;0.0330884;0.014647;129.883;0.500107;350.375;129.883;-259
3;508;1017;7;1955;-0.017;0.0150884;-0.248999;134.046;0.22805;350.375;134.046;-268
0;539;1078;8;1842;0.009;0.0397613;0.137061;6.22482;0.622625;362.975;6.2248;-280
0;96;193;10;546;0.009;0.0471471;0.110871;88.0312;0.600772;299.975;88.0312;98.25
0;96;193;10;545;0.009;0.0471471;0.110871;88.0187;0.600772;299.975;88.0187;98.25
0;97;195;10;617;0.005;0.0421767;0.064505;88.5156;0.557776;312.575;88.5155;98.25
0;97;195;10;622;0.009;0.0461767;0.116109;88.5781;0.610675;312.575;88.578;98.25
1;99;199;9;1444;0.013;0.0463045;0.182845;91.2453;0.680553;337.775;91.2453;111.25
1;100;201;9;1533;0.005;0.0373772;0.073235;92.7706;0.5682;350.375;92.7706;114
1;100;201;9;1540;0.01;0.0423772;0.14647;92.8581;0.644209;350.375;92.8581;114
1;101;203;9;1640;0.023;0.0548774;0.350267;93.6998;0.859808;362.975;93.6998;115
1;101;203;9;1637;0.021;0.0528774;0.319809;93.6623;0.828472;362.975;93.6623;115
3;113;227;5;298;-0.064;-0.0605551;-0.974656;138.525;-7.10123;362.975;138.525;-106
3;157;314;4;409;0.005;0.041434;0.064505;67.9156;0.552839;312.575;67.9156;143.25
0;158;317;4;303;-0.016;0.0185724;-0.215728;84.9885;0.263138;325.175;84.9885;148.5
0;158;317;4;357;0.015;0.0495724;0.202245;85.6635;0.702352;325.175;85.6635;148.5
1;240;480;13;653;-0.007;0.0318865;-0.086233;35.3687;0.404827;299.975;35.3688;199.75
2;243;486;12;1860;0.011;0.0454125;0.154715;42.4453;0.662795;337.775;42.4453;223.75
